Account #: 401	Balance: 99985.61	Creation date: 30.04.1996
Account #: 1002	Balance: 31558.80	Creation date: 12.05.2008
Account #: 503	Balance: 2537.27	Creation date: 24.04.1985
Account #: 604	Balance: 95198.03	Creation date: 12.08.2000
Account #: 305	Balance: 68152.21	Creation date: 01.12.1976
Account #: 206	Balance: 30984.61	Creation date: 11.01.1992
Account #: 607	Balance: 10794.25	Creation date: 22.06.1990
Account #: 508	Balance: 69280.59	Creation date: 31.12.1995
Account #: 809	Balance: 36094.84	Creation date: 24.11.1987
Account #: 10	Balance: 48386.26	Creation date: 29.05.1981
Account #: 711	Balance: 32115.93	Creation date: 31.01.1995
Account #: 312	Balance: 16654.51	Creation date: 06.06.2002
Account #: 313	Balance: 85724.56	Creation date: 26.02.1981
Account #: 614	Balance: 46122.67	Creation date: 15.09.1981
Account #: 615	Balance: 64003.98	Creation date: 29.03.1989
Account #: 916	Balance: 2536.90	Creation date: 10.05.2005
Account #: 117	Balance: 625.55	Creation date: 15.10.2009
Account #: 818	Balance: 13930.80	Creation date: 08.08.1985
Account #: 719	Balance: 40635.89	Creation date: 04.12.1996
Account #: 520	Balance: 23488.29	Creation date: 31.05.1981
Account #: 421	Balance: 24163.65	Creation date: 04.11.1980
Account #: 422	Balance: 98854.58	Creation date: 05.11.2013
Account #: 223	Balance: 54044.68	Creation date: 05.11.1998
Account #: 724	Balance: 31877.69	Creation date: 07.04.2000
Account #: 925	Balance: 66667.54	Creation date: 15.01.1973
Account #: 326	Balance: 93422.47	Creation date: 03.07.1993
Account #: 727	Balance: 55253.69	Creation date: 31.12.1978
Account #: 128	Balance: 86795.30	Creation date: 20.10.2009
Account #: 929	Balance: 24545.84	Creation date: 28.03.1984
Account #: 730	Balance: 60781.53	Creation date: 04.11.1984
Account #: 831	Balance: 53161.20	Creation date: 08.09.1972
Account #: 332	Balance: 25599.54	Creation date: 28.05.1970
Account #: 533	Balance: 20785.35	Creation date: 22.07.1979
Account #: 534	Balance: 49421.66	Creation date: 13.12.1991
Account #: 435	Balance: 11489.07	Creation date: 21.01.2000
Account #: 236	Balance: 72647.80	Creation date: 24.12.1986
Account #: 837	Balance: 19732.53	Creation date: 11.06.2012
Account #: 538	Balance: 45924.41	Creation date: 06.12.2009
Account #: 539	Balance: 73504.53	Creation date: 13.04.2006
Account #: 940	Balance: 95999.11	Creation date: 11.11.1974
Account #: 641	Balance: 9392.63	Creation date: 14.06.2007
Account #: 842	Balance: 31846.69	Creation date: 23.05.1992
Account #: 243	Balance: 20493.23	Creation date: 15.06.1999
Account #: 644	Balance: 88989.85	Creation date: 17.07.1982
Account #: 445	Balance: 81687.61	Creation date: 15.06.2011
Account #: 146	Balance: 50400.34	Creation date: 09.03.1998
Account #: 47	Balance: 93106.70	Creation date: 28.01.1994
Account #: 748	Balance: 91572.01	Creation date: 23.12.2013
Account #: 49	Balance: 75196.20	Creation date: 14.09.2009
Account #: 950	Balance: 50014.27	Creation date: 07.05.1981
Account #: 251	Balance: 74726.53	Creation date: 04.08.1987
Account #: 852	Balance: 76166.90	Creation date: 04.04.1998
Account #: 353	Balance: 75856.61	Creation date: 28.09.1993
Account #: 754	Balance: 55166.92	Creation date: 04.11.2011
Account #: 255	Balance: 52882.35	Creation date: 04.12.1986
Account #: 356	Balance: 4525.33	Creation date: 11.06.1994
Account #: 357	Balance: 98943.94	Creation date: 27.01.1984
Account #: 658	Balance: 20052.23	Creation date: 16.11.1988
Account #: 859	Balance: 38530.04	Creation date: 30.10.1989
Account #: 760	Balance: 15698.66	Creation date: 18.05.2003
Account #: 361	Balance: 342.05	Creation date: 28.01.1995
Account #: 762	Balance: 47693.37	Creation date: 12.10.1980
Account #: 263	Balance: 33641.29	Creation date: 03.03.1988
Account #: 364	Balance: 30713.33	Creation date: 29.12.2006
Account #: 565	Balance: 86711.10	Creation date: 09.01.1981
Account #: 566	Balance: 6044.03	Creation date: 26.02.1978
Account #: 967	Balance: 95075.12	Creation date: 17.07.2011
Account #: 768	Balance: 56904.89	Creation date: 28.03.2004
Account #: 869	Balance: 12609.28	Creation date: 11.05.1973
Account #: 970	Balance: 43418.14	Creation date: 29.11.2004
Account #: 771	Balance: 47096.34	Creation date: 30.09.2013
Account #: 572	Balance: 44105.59	Creation date: 01.06.1998
Account #: 773	Balance: 67959.30	Creation date: 24.03.1983
